;Location;Page_n;Title;Url;Date;Description;Clean_text
0;Świat;1;Celowo zakażał koronawirusem kolegów z pracy;https://www.tvp.info/53469898/hiszpania-aresztowano-mezczyzne-ktory-celowo-zakazal-koronawirusem;22:14;Hiszpańska policja aresztowała mężczyznę, który celowo zakażał koronawirusem swoich kolegów z pracy. Wskutek jego działania zainfekowane zostały co najmniej 22 osoby. Ich stan służby medyczne oceniają jako stosunkowo dobry.;Hiszpańska policja aresztowała mężczyznę, który celowo zakażał koronawirusem swoich kolegów z pracy. Wskutek jego działania zainfekowane zostały co najmniej 22 osoby. Ich stan służby medyczne oceniają jako stosunkowo dobry.  Jak podała w sobotnim komunikacie krajowa policja (Policia Nacional), 40-letni mieszkaniec miasta Manacor na Majorce został zatrzymany w piątek. Kilka dni wcześniej pojawił się w pracy z zamiarem zakażenia kolegów.  Według policyjnego raportu mężczyzna pojawił się w miejscu pracy z silnymi objawami COVID-19, m.in. z 40-stopniową gorączką i kaszlem. Deklarował, że „dziś pozakaża wszystkich koronawirusem”.  Część zakażonych przez mieszkańca Majorki pacjentów stanowią osoby, które przebywały wraz z nim na siłowni. Tam również zainfekowany miał mówić, że chce pozakażać inne osoby.   Mężczyzna został objęty przymusową kwarantanną
7;Świat;1;Groźne hipopotamy Pablo Escobara. Co z nimi będzie?;https://www.tvp.info/53467924/kolumbia-stado-hipopotamow-pablo-escobara-barona-narkotykowego-pablo-escobar-hipopotamy;15:15;Weterynarz z Lodi na północy Włoch otrzymał niezwykłą misję do wykonania. Po ostrej fazie pandemii koronawirusa poleci do Kolumbii, by zająć się stadem hipopotamów, które należało do nieżyjącego od prawie 30 lat barona narkotykowego Pablo Escobara.;"Weterynarz z Lodi na północy Włoch otrzymał niezwykłą misję do wykonania. Po ostrej fazie pandemii koronawirusa poleci do Kolumbii, by zająć się stadem hipopotamów, które należało do nieżyjącego od prawie 30 lat barona narkotykowego Pablo Escobara. O specjalnej misji lekarza weterynarii Giuliano Ravasio poinformował dziennik „Corriere della Sera”. Doktor wraz z całym zespołem musi odnaleźć, podać narkozę i wysterylizować coraz większe stado z prywatnego ZOO Escobara, które staje się zagrożeniem dla ludności.  Doktor Ravasio jako jeden z niewielu na świecie – jak podkreśla gazeta – ma doświadczenie w zajmowaniu się tymi potężnymi zwierzętami; zaledwie dwa tygodnie temu uśpił do operacji dwutonowego hipopotama. Teraz przed specjalistą anestezjologii weterynaryjnej stoi jedyna w swoim rodzaju misja, o której opowiedział również we włoskim Radiu 24.   Zwierzęta uciekły z ZOO Escobara Musi zająć się kolonią hipopotamów, które uciekły z ogrodu zoologicznego po śmierci najpotężniejszego króla narkotykowego i groźnego kryminalisty w 1993 roku.Doktor Ravasio powiedział, że, gdzie już doszło do pierwszych ataków tych ssaków na ludzi.Jak podkreślają eksperci,– Innym rozwiązaniem byłoby jego zabicie, ale to nie jest brane pod uwagę. Naród kolumbijski adoptował te ssaki i dlatego byłby to okrutny wybór – powiedział lekarz, nazwany „usypiaczem hipopotamów”. W misji w Ameryce Południowej towarzyszyć mu będzie pięć anestezjolożek."
17;Świat;1;Nowe zalecenia w USA. Szczepienia preparatem Johnson&Johnson będą wznowione;https://www.tvp.info/53457530/koronawirus-w-usa-panel-cdc-zaleca-wznowienie-szczepien-preparatem-johnsonjohnson;07:59;Panel doradczy amerykańskiego Centrum Kontroli i Prewencji Chorób (CDC) zalecił w piątek wznowienie szczepień przeciwko koronawirusowi preparatem Johnson&Johnson. Oznacza to, że prawdopodobnie już w najbliższych dniach dawki tej firmy będą ponownie powszechnie podawane w USA.;Panel doradczy amerykańskiego Centrum Kontroli i Prewencji Chorób (CDC) zalecił w piątek wznowienie szczepień przeciwko koronawirusowi preparatem Johnson&Johnson. Oznacza to, że prawdopodobnie już w najbliższych dniach dawki tej firmy będą ponownie powszechnie podawane w USA.  Panel doradczy CDC stosunkiem głosów 10 do 4 opowiedział się za wznowieniem szczepień preparatem Johnson&Johnson, podkreślając że korzyści z zastrzyków przewyższają ryzyko i ostatecznie doprowadzą do ochrony ludzkiego życia.  Panel zalecił, by Agencja Żywności i Leków (FDA) dodała na szczepionki etykiety, które mają uświadamiać o niewielkim ryzyku rzadkich powikłań związanych z zakrzepami krwi u kobiet w wieku poniżej 50 lat.  Zalecenie panelu musi jeszcze zostać zatwierdzone przez szefową CDC Rochelle Walensky, która jak się oczekuje, zasugeruje wznowienie podawania dawek Johnson&Johnson w ciągu kilku godzin lub dni. Do natychmiastowej dyspozycji w USA jest blisko 10 milionów jednodawkowej szczepionki Johnson&Johnson. Łącznie preparatem tym zaszczepiono w USA około 8 milionów osób.W pierwszej połowie kwietnia FDA oraz CDC zaleciły wstrzymanie szczepień z użyciem produktu Johnson&Johnson z uwagi na wystąpienie 6 przypadków rzadkich zakrzepów krwi wśród 6,8 mln zaszczepionych osób. Jak dotąd potwierdzono 15 przypadków zakrzepów, każdy z nich u kobiet.Na skutek tego zalecenia szczepienia preparatem Johnson&Johnson zawieszono w większości punktów Stanach Zjednoczonych.
20;Świat;2;Epidemiczny stan wyjątkowy w Tokio. Igrzyska jednak niezagrożone;https://www.tvp.info/53458958/japonia-wprowadzono-epidemiczny-stan-wyjatkowy-w-tokio-igrzyska-olimpijskie-jednak-niezagrozone;06:30;Władze Japonii ogłosiły epidemiczny stan wyjątkowy w Tokio oraz trzech prefekturach – Kioto, Osace i Hyogo. W kraju, w którym za trzy miesiące mają zostać rozegrane Igrzyska Olimpijskie zanotowano znaczny wzrost liczby zakażeń koronawirusem.;Władze Japonii ogłosiły epidemiczny stan wyjątkowy w Tokio oraz trzech prefekturach – Kioto, Osace i Hyogo. W kraju, w którym za trzy miesiące mają zostać rozegrane Igrzyska Olimpijskie zanotowano znaczny wzrost liczby zakażeń koronawirusem.  W stolicy kraju oraz trzech prefekturach zakazana będzie sprzedaż alkoholu w barach i restauracjach, a władze zaapelowały do właścicieli o całkowite zamknięcie lokali gastronomicznych. Nieczynne będą również centra handlowe, a kursowanie niektórych pociągów i autobusów zostanie zawieszone, by ograniczyć mobilność obywateli. Zakazane będą wszelkie imprezy sportowe z udziałem publiczności. Władze zachęcają również do kontynuowania pacy zdalnej.  Premier Japonii Yoshihide Suga zapowiedział, że stan wyjątkowy potrwa do 11 maja. Podkreślił, że specjalne zasady sanitarne mają zapobiec rozprzestrzenianiu się nowego wariantu patogenu.  Jednocześnie komitet organizacyjny Igrzysk Olimpijskich ogłosił, że stan wyjątkowy nie wpłynie na proces przygotowań do imprezy zaplanowanej na lipiec. Jego szef Seiko Hashimoto powiedział, że nie jest rozważane odwołanie igrzysk. Mogą zostać jedynie wprowadzone specjalne zasady zwiększające bezpieczeństwo sanitarne uczestników.  Do tej pory w Japonii zanotowano ponad 550 tysięcy zakażeń koronawirusem. Zmarło blisko 10 tysięcy osób.
31;Świat;2;EMA zwiększa produkcję i dostawy szczepionek. Głos zabrał GIF;https://www.tvp.info/53450602/ema-zwiekszy-produkcje-i-dostawy-szczepionek-w-ue-do-zalecen-odniosl-sie-gif;23.04.2021;Komitet ds. Produktów Leczniczych Stosowanych u Ludzi (CHMP) Europejskiej Agencji Leków (EMA) przyjął dwa ważne zalecenia, które zwiększą możliwości produkcyjne i dostawy szczepionek przeciw COVID-19 w UE od firm BioNTech/Pfizer i Moderna – podał w piątek Główny Inspektorat Farmaceutyczny.;Komitet ds. Produktów Leczniczych Stosowanych u Ludzi (CHMP) Europejskiej Agencji Leków (EMA) przyjął dwa ważne zalecenia, które zwiększą możliwości produkcyjne i dostawy szczepionek przeciw COVID-19 w UE od firm BioNTech/Pfizer i Moderna – podał w piątek Główny Inspektorat Farmaceutyczny.  EMA zatwierdziła zwiększenie wielkości partii i związane z tym zwiększenie produkcji szczepionek firmy Pfizer w zakładzie w Puurs w Belgii.  – Decyzja EMA potwierdza, że zakład w Puurs jest w stanie konsekwentnie produkować szczepionki wysokiej jakości i umożliwia firmie Pfizer/BioNTech zwiększenie skali procesu produkcyjnego w tym zakładzie – wskazano w komunikacie GIF.   Nowa linia Komitet zalecił również zatwierdzenie nowej linii napełniania w zakładzie produkcji wyrobów gotowych firmy Moderna (Rovi) w Hiszpanii.– jak wskazał GIF, powołując się na informację EMA –w zatwierdzonym w zeszłym miesiącu zakładzie Lonza w Visp (w Szwajcarii).– EMA prowadzi ciągły dialog ze wszystkimi posiadaczami pozwolenia na dopuszczenie do obrotu szczepionek, ponieważ starają się oni zwiększyć swoje zdolności produkcyjne w celu dostarczania szczepionek w UE. Agencja zapewnia wytyczne i porady dotyczące dowodów wymaganych do poparcia i przyspieszenia składania wniosków o dodanie nowych zakładów lub zwiększenie zdolności istniejących zakładów do wytwarzania wysokiej jakościCOVID-19 – podał GIF.Przeczytaj także:
34;Świat;2;Kolejna wielka dostawa szczepionek do UE. Potwierdzono umowę z Pfizer/BioNTech;https://www.tvp.info/53449394/szczepienia-w-unii-europejskiej-ue-potwierdzila-umowe-z-pfizerbiontech-na-dostawe-do-18-miliarda-kolejnych-dawek-szczepionki;23.04.2021;Unia Europejska przypieczętowała umowę z Pfizer/BioNTech na dostawę do 1,8 miliarda kolejnych dawek ich szczepionki przeciwko COVID-19 – powiedział w piątek Agencji Reutera urzędnik UE.;Unia Europejska przypieczętowała umowę z Pfizer/BioNTech na dostawę do 1,8 miliarda kolejnych dawek ich szczepionki przeciwko COVID-19 – powiedział w piątek Agencji Reutera urzędnik UE. Umowy w imieniu UE podpisuje Komisja Europejska.  To trzeci kontrakt podpisany przez blok z dwiema firmami, które zgodziły się już na dostarczenie 600 milionów dawek w ramach dwóch poprzednich kontraktów.  W połowie kwietnia Komisja Europejska podała, że rozpoczęła negocjacje z BioNTech/Pfizer ws. dostawy 1,8 mld dawek szczepionek na lata 2022-2023.  – Rozpoczęliśmy negocjacje z BioNtech/Pfizer ws. trzeciego kontraktu. Ten kontrakt zakłada dostawy 1,8 mld dodatkowych dawek szczepionek na lata 2022-2023. Będzie dotyczył nie tylko produkcji szczepionek, ale także niezbędnych komponentów. Wszystko to będzie miało miejsce w UE – powiedziała wówczas szefowa KE Ursula von der Leyen.  Dodała, że ma nadzieje na zakończenie rozmów bardzo szybko.  Czytaj także: Szczepienia na koronawirusa. „Uwalniamy możliwość dowolnego wyboru terminu”
43;Świat;3;Tragiczny pożar w szpitalu w Indiach. Zginęło 13 pacjentów z COVID-19;https://www.tvp.info/53444194/koronawirus-w-indiach-13-pacjentow-z-covid-19-zginelo-w-pozarze-w-szpitalu;23.04.2021;"13 pacjentów z COVID-19 zginęło w szpitalu pod Bombajem po wybuchu pożaru na oddziale intensywnej terapii. W całych Indiach po raz kolejny zanotowano największą na świecie dzienną liczbę zakażeń koronawirusem; służba zdrowia jest w stanie zapaści.";"13 pacjentów z COVID-19 zginęło w szpitalu pod Bombajem po wybuchu pożaru na oddziale intensywnej terapii. W całych Indiach po raz kolejny zanotowano największą na świecie dzienną liczbę zakażeń koronawirusem; służba zdrowia jest w stanie zapaści.  Do pożaru doszło w miejscowości Virar w stanie Maharasztra. Przyczyna nie jest na razie znana, ale jak podała indyjska agencja prasowa PTI, pożar miał poprzedzić wybuch w instalacji klimatyzacyjnej na oddziale intensywnej opieki. W szpitalu przebywało około 90 pacjentów.  Do tragedii doszło dwa dni po tym, jak w mieście Nashik w tym samym indyjskim stanie zmarło w szpitalu 22 pacjentów po awarii zbiornika z tlenem.  W piątek w kraju po raz drugi z rzędu odnotowano rekordową liczbę nowych przypadków COVID-19 – 332 730 – co jest światowym rekordem. Zmarło 2263 pacjentów. Według ekspertów liczby te niemal na pewno są wielokrotnie niższe od rzeczywistych.  Jak dotąd od początku pandemii w Indiach wykryto 162 mln infekcji koronawirusem i zarejestrowano 184 657 zgonów. Więcej ofiar pandemii odnotowano jedynie w USA i Brazylii.   Mimo przyspieszenia akcji szczepień i ponad 135 mln podanych dawek szczepionek przeciwko COVID-19, dotąd jedynie 8 proc. ludności kraju otrzymało co najmniej jedną dawkę."
69;Świat;4;Niemcy dogadały się z Rosją. Kupują szczepionkę Sputnik V;https://www.tvp.info/53434063/koronawirus-niemcy-dogadaly-sie-z-rosja-kupuja-szczepionke-sputnik-v;22.04.2021;Niemcy kupują w Rosji 30 mln dawek szczepionki przeciwko COVID-19 Sputnik V, po 10 mln w czerwcu, lipcu i sierpniu – poinformował „Bild”, powołując się na premiera Saksonii Michaela Kretschmera.;Niemcy kupują w Rosji 30 mln dawek szczepionki przeciwko COVID-19 Sputnik V, po 10 mln w czerwcu, lipcu i sierpniu – poinformował „Bild”, powołując się na premiera Saksonii Michaela Kretschmera. Gazeta dodała, że Kretschmer ogłosił to podczas podróży do Rosji, po rozmowie z rosyjskim ministrem zdrowia Michaiłem Muraszko.  Premier Saksonii podkreślił: „Może uda nam się zdobyć więcej. Jest to kolejna cegiełka, która pozwoli na szybkie szczepienia w Niemczech”.  „Niemcy kupują rosyjską szczepionkę dokładnie w dniu, w którym okazało się, że od końca maja wszyscy dorośli w Niemczech będą mogli się zaszczepić” – zauważa „Bild”.  Szczepionka ta nie została jeszcze zatwierdzona przez Europejską Agencję Leków.
74;Świat;4;Będzie pozew sądowy przeciwko producentowi szczepionek;https://www.tvp.info/53432397/komisja-europejska-przygotowuje-pozew-sadowy-przeciwko-producentowi-szczepionek-astrazeneca;22.04.2021;Komisja Europejska przygotowuje pozew sądowy przeciwko producentowi szczepionek AstraZeneca. Według źródeł Agencji Reutera chodzi o to, by zobowiązać producenta do dostarczenia szczepionek zakontraktowanych na drugi kwartał tego roku.;Komisja Europejska przygotowuje pozew sądowy przeciwko producentowi szczepionek AstraZeneca. Według źródeł Agencji Reutera chodzi o to, by zobowiązać producenta do dostarczenia szczepionek zakontraktowanych na drugi kwartał tego roku. Komisja Europejska podniosła tę kwestię na spotkaniu ambasadorów w związku ze skargami, że AstraZeneca nie dostarcza zadeklarowanych dawek.  Większość dyplomatów, jak poinformowało Politico, wyraziła poparcie dla tego pomysłu.  Wszystkie kraje unijne mają problem z dostawami preparatów firmy AstraZeneca. W środę odpowiedzialny za program szczepień w Polsce minister Michał Dworczyk poinformował, że kolejna partia zamówionych szczepionek tego koncernu dotrze do nas z opóźnieniem.
78;Świat;4;Rekordowa liczba zakażeń w Indiach;https://www.tvp.info/53429497/pandemia-koronawirusa-indie-rekordowa-liczba-zakazen-kryzys-sanitarny-w-szpitalach;22.04.2021;Indie zarejestrowały światowy rekord po względem dobowych zakażeń koronawirusa. W czwartek liczba ta wyniosła ponad 314 tys. W drugim pod względem liczby ludności kraju na świecie coraz więcej chorych na COVID-19 trafia do szpitali, w których brakuje łóżek i tlenu.;"Indie zarejestrowały światowy rekord po względem dobowych zakażeń koronawirusa. W czwartek liczba ta wyniosła ponad 314 tys. W drugim pod względem liczby ludności kraju na świecie coraz więcej chorych na COVID-19 trafia do szpitali, w których brakuje łóżek i tlenu.  W ciągu ostatniej doby liczba odnotowanych przypadków koronawirusa na świecie wzrosła do 15,9 mln od początku pandemii – podała agencja informacyjna AP.  Indie przechodzą drugą falę epidemii koronawirusa. Jak podało Ministerstwo Zdrowia tego kraju, w ciągu ostatnich 24 godzin zmarło 2104 chorych na COVID-19. Łączna liczba zgonów z powodu koronawirusa to 184 657.  W Indiach panuje też poważny kryzys sanitarny. Wiele szpitali zgłasza niską liczbę dostępnych łóżek i lekarstw, a poziom dostępnego tlenu drastycznie spada. Sąd Najwyższy w Delhi zdecydował w środę, aby rząd przeznaczył tlen z użytku przemysłowego na rzecz szpitali. Rząd Indii wysłał cysterny, aby uzupełnić zapasy tlenu w placówkach medycznych.   Loty do Indii Stany Zjednoczone odradzają podróże do Indii nawet zaszczepionym; Wielka Brytania dodała Indie do swojej „czerwonej listy”. Hongkong i Nowa Zelandia zakazały lotów z Indii. LOT nie wykonuje na razie lotów pasażerskich do Indii.Bardzo wstępnie planujemy uruchomienie rejsów pasażerskich dopiero od czerwca. Uzależnione to będzie przede wszystkim od sytuacji epidemiologicznej – poinformował rzecznik spółki Krzysztof Moczulski."
