,Location,Page_n,Title,Url,Date,Description,Clean_text
2,Świat,1,Wielka Brytania „strefą mutowania koronawirusa”,https://www.tvp.info/53940837/niebezpiecznie-w-wielkiej-brytanii-to-strefa-mutowania-koronawirusa,12:29,"Berliński Instytut Roberta Kocha sklasyfikował Wielką Brytanię jako „strefę mutowania koronawirusa”. Oznacza to, że wszystkie osoby przybywające ze Zjednoczonego Królestwa do Niemiec muszą odbyć dwutygodniową kwarantannę.",ERROR
8,Świat,1,Ponad milion zgonów na COVID-19 w Ameryce Łacińskiej i na Karaibach,https://www.tvp.info/53935800/ponad-milion-zgonow-na-covid-19-w-ameryce-lacinskiej-i-na-karaibach,08:04,Liczba zgonów spowodowanych pandemią koronawirusa w Ameryce Łacińskiej i na Karaibach przekroczyła w piątek 1 milion - podaje agencja Reutera na podstawie własnych wyliczeń. Największa śmiertelność jest w Brazylii.,ERROR
12,Świat,1,Instytut Kocha: Wlk. Brytania „strefą mutowania koronawirusa”,https://www.tvp.info/53934929/instytut-kocha-wlk-brytania-strefa-mutowania-koronawirusa,07:17,Niemiecki instytut ochrony zdrowia Roberta Kocha uznał w piątek Wielką Brytanię za „strefę mutowania wariantów koronawirusa”. W związku z tym wszyscy podróżni przybywający z Wysp do Niemiec będą od niedzieli podlegać dwutygodniowemu okresowi kwarantanny.,ERROR
28,Świat,2,„Czarny grzyb” u chorych na koronawirusa. Lekarze ostrzegają,https://www.tvp.info/53924718/czym-jest-czarny-grzyb-grzybica-atakuje-chorych-na-covid-19-mukormykoza-rozwija-sie-w-indiach,21.05.2021,"W Indiach wzrasta liczba chorych na mukormykozę. Ta groźna grzybica atakuje pacjentów chorych na COVID-19. Medycy twierdzą, że ma to bezpośredni związek z leczeniem koronawirusa sterydami – informuje AP.",ERROR
42,Świat,3,Na tej wyspie psy będą wykrywać chorych na COVID-19 turystów,https://www.tvp.info/53913305/koronawirus-w-portugalii-na-maderze-psy-beda-wykrywac-chorych-na-covid-19-turystow,20.05.2021,"Na portugalskiej wyspie Madera kilka psów szkolonych jest do wykrywania osób chorych na COVID-19 – potwierdziły lokalne władze. Zadeklarowały, że kontrola będzie przeprowadzana na lotnisku bez fizycznego kontaktu wczasowiczów z czworonogami.",ERROR
46,Świat,3,Media: Holenderska armia trolli rozpowszechnia fałszywe informacje o COVID-19,https://www.tvp.info/53907966/holenderskie-media-internetowe-trolle-rozpowszechnia-falszywe-informacje-o-covid-19,20.05.2021,"Działająca w Holandii armia internetowych trolli rozpowszechnia nieprawdziwe informacje o koronawirusie w Internecie – twierdzi grupa dziennikarzy tego kraju. Funkcjonariusze policji monitorują sytuację, jednak nie podejmują żadnych skutecznych działań.",ERROR
62,Świat,4,Salma Hayek i COVID-19. Szczere wyznanie gwiazdy,https://www.tvp.info/53894032/salma-hayek-ujawnia-ze-nieomal-umarla-przez-covid-19,20.05.2021,"54-letnia aktorka dopiero teraz przyznaje, że zarażono ją koronawirusem. Dopiero, bo została zarażona na samym początku pandemii. Przeszła przez chorobę tak źle, że nie chciała iść do szpitala. – Dziękuję, wolałabym umrzeć w swoim domu – odpowiedziała lekarzowi, który był przerażony stanem gwiazdy.",ERROR
65,Świat,4,Rekordowa liczba zgonów na COVID-19 w Argentynie. „Sytuacja jest rozpaczliwa”,https://www.tvp.info/53891342/koronawirus-rekordowa-liczba-dziennych-zgonow-na-covid-19-w-argentynie-sytuacja-jest-rozpaczliwa,19.05.2021,"Argentyna odnotowała rekordową liczbę dobowych zgonów w związku z koronawirusem. W środę tamtejsze ministerstwo zdrowia ogłosiło, że w ciągu ostatnich 24 godzin zmarło 745 osób. Nowe zakażenia wykryto u 35 543 osób.",ERROR
94,Świat,5,Minister zdrowia Ukrainy odwołany. „Nie radzi sobie z pandemią”,https://www.tvp.info/53874206/minister-zdrowia-ukrainy-odwolany-maksym-stepanow-nie-radzi-sobie-z-pandemia,18.05.2021,Ukraiński parlament odwołał we wtorek ministra zdrowia Maksyma Stepanowa za nieradzenie sobie ze szczepieniami podczas pandemii COVID-19 oraz za skandale korupcyjne. Z wnioskiem o dymisję wystąpił premier Denys Szmyhal.,ERROR
130,Świat,7,Obawy przed indyjskim wariantem COVID-19. Plan znoszenia restrykcji zagrożony,https://www.tvp.info/53833926/wielka-brytania-premier-boris-johnson-uwaza-ze-indyjski-wariant-koronawirusa-jest-zagrozeniem-dla-planu-znoszenia-restrykcji,16.05.2021,"Zaplanowany na poniedziałek trzeci etap znoszenia restrykcji w Anglii się nie zmienia, ale indyjski wariant koronawirusa stanowi zagrożenie dla kolejnego etapu, który ma się zacząć 21 czerwca – przyznał w piątek po południu brytyjski premier Boris Johnson.",ERROR
